,reviewerid,authorcomments,total_sum,title,keywords,abstract,accept
17,8454,"
Technical merit of the paper is very poor.
 This paper explains the python coding capability of the author(s). 
 There are no specific algorithm/methodology for its goal!!!
References are very poor and not up to date!!!
",10.0,Harry Porter Stories Contrastive Analysis of Bangla-English Corpus,"Corpus, Contrastive Analysis, Python, Linguistic","In the present world, the language barrier creates an enormous problem for information sharing purpose. To suppress the problem, new technologies already implemented and different machine translator is introduced and used by different countries over the world. Contrastive analysis is required for identifying the linguistic differences between a couple of languages. At first, enrich corpus is required for linguistic research. English language corresponding Bangla text analysis is a tricky task due to the phonetic issue. In the paper, we compare some Linguistic comparison between Bangla and English of Harry Porter Stories to identifying structural differences and similarities based on a number of
parameters such as Corpus size (in words), Vocabulary size (no. of unique words), Corpus size (in lines), Top ten frequent words etc.",0
18,8967,"The paper presents Contrastive analysis of Bangla-English Corpus based on a book named “Harry Potter and the Chamber of Secrets”.
 
The author claimed that English language corresponding Bangla text corpus analysis is not done yet. However, similar research had been published in the “ Contrastive Analysis of Bengali and English Articles”  IOSR Journal Of Humanities And Social Science (IOSR-JHSS) Volume 19, Issue 8, Ver. VI (Aug. 2014), PP 24-29 e-ISSN: 2279-0837, p-ISSN: 2279-0845. The author should cite and compare their approach with this one.
 
Most of the part of the paper has been included the source code that are very rare in case for an international research papers. Please translate the source code into a pseudocode like algorithm.
 
English should be improved.
 
Reference section should be improved.",15.0,Harry Porter Stories Contrastive Analysis of Bangla-English Corpus,"Corpus, Contrastive Analysis, Python, Linguistic","In the present world, the language barrier creates an enormous problem for information sharing purpose. To suppress the problem, new technologies already implemented and different machine translator is introduced and used by different countries over the world. Contrastive analysis is required for identifying the linguistic differences between a couple of languages. At first, enrich corpus is required for linguistic research. English language corresponding Bangla text analysis is a tricky task due to the phonetic issue. In the paper, we compare some Linguistic comparison between Bangla and English of Harry Porter Stories to identifying structural differences and similarities based on a number of
parameters such as Corpus size (in words), Vocabulary size (no. of unique words), Corpus size (in lines), Top ten frequent words etc.",0
19,8112,"ECCE 2019 is following double-blind peer review process, I m wondering why authors included their information.

Formatting problem, not followed IEEE style
No technical description! How data collected? How/what is interpreted? How/What signal is generated?
How to evaluated the system, performance?
Most of references are not followed IEEE style
",14.0,Web Enabled Disaster Signal System,"IoT, Web Enabled Coastal Zone","A country like Bangladesh where there are 710 kilometers coastal areas and 50 million people are living on that part need to have a fast natural disaster alarm system. Web Enabled Disaster Signal System can be provided enough time to local people to save their lives and resources. The aim of our project is to develop a Web Enabled Disaster Signal System for the local people of the coastal zones. By using the idea of IOT (Internet of Things), this system is developed. The current system of disaster management system of Bangladesh takes some time which is too slow to alarm the affected area. For this circumstances where losses are in huge number can be saved in few moments, time is a great issue for situations like this. Time between natural hazard detection and forwarding information to the upcoming possible effected area can be reduced by this system we are talking about. Using Web Enabled Disaster Signal System, information forwarding system for natural disaster will be far faster than the current system. Current system takes more likely 2 to 3 hours overall. Disaster alarm can be sent through this system just by a tip of finger.",0
20,8146,"Paper ID: 7101
This paper breaks the rules of submission and contain authors affiliation. Contribution is very poor as well.
 Therefore reject it",6.0,Web Enabled Disaster Signal System,"IoT, Web Enabled Coastal Zone","A country like Bangladesh where there are 710 kilometers coastal areas and 50 million people are living on that part need to have a fast natural disaster alarm system. Web Enabled Disaster Signal System can be provided enough time to local people to save their lives and resources. The aim of our project is to develop a Web Enabled Disaster Signal System for the local people of the coastal zones. By using the idea of IOT (Internet of Things), this system is developed. The current system of disaster management system of Bangladesh takes some time which is too slow to alarm the affected area. For this circumstances where losses are in huge number can be saved in few moments, time is a great issue for situations like this. Time between natural hazard detection and forwarding information to the upcoming possible effected area can be reduced by this system we are talking about. Using Web Enabled Disaster Signal System, information forwarding system for natural disaster will be far faster than the current system. Current system takes more likely 2 to 3 hours overall. Disaster alarm can be sent through this system just by a tip of finger.",0
21,8970,Appreciable work for disaster management in country's like Bangladesh. It is very good idea to instantly manage the system with web. But the literature review is not adequate. Can be implemented as project work.,15.0,Web Enabled Disaster Signal System,"IoT, Web Enabled Coastal Zone","A country like Bangladesh where there are 710 kilometers coastal areas and 50 million people are living on that part need to have a fast natural disaster alarm system. Web Enabled Disaster Signal System can be provided enough time to local people to save their lives and resources. The aim of our project is to develop a Web Enabled Disaster Signal System for the local people of the coastal zones. By using the idea of IOT (Internet of Things), this system is developed. The current system of disaster management system of Bangladesh takes some time which is too slow to alarm the affected area. For this circumstances where losses are in huge number can be saved in few moments, time is a great issue for situations like this. Time between natural hazard detection and forwarding information to the upcoming possible effected area can be reduced by this system we are talking about. Using Web Enabled Disaster Signal System, information forwarding system for natural disaster will be far faster than the current system. Current system takes more likely 2 to 3 hours overall. Disaster alarm can be sent through this system just by a tip of finger.",0
23,9040,"This manuscript is a intersting topics to the readers and has important data analysis. This idea is not a novel idea. Also, there are some format issues and lack of sufficient literature support.The authors need to take it consideration.",20.0,Mining of business insights and customer interests from social media: Facebook,"Customer Interest, Business Insight, Business Intelligence, Data Mining, Lexicon Based Classifier, Market Basket Data, Social Media; Social Media Group, Sentiment Analysis","the rising popularity of social media opens up new opportunities to analyze intended organizationâs business insight and its customer interest. Such information derived from social media data can be very useful to mining customers for using as further business intelligence. In this work, a methodology is outlined to collect data and manipulate them to business insights using social network sites; particularly from Facebook groups. FoodBank a Facebook group which is very popular in Bangladesh has been chosen to analyze business insights of different types of fast-food and restaurants in Bangladesh.",0
25,9391,"The author(s) should not include his/her/their name and affiliation(s) in the blind review process.
Title of this work is ""Mining of business insights and customer interests from social media: Facebook"", which seems meaningless. The author should rename the Title.
will be ""The"", not ""the"" in the first line.
Use IEEE conference paper format to write the paper
the author should check and correct the grammatical mistakes.
methodology and experiment analysis sections should be more clear and descriptive.
comparative result analysis is preferable. The author should include some comparative result analysis with recent referenced works.
fix the referencing and reference list using IEEE format.
the contribution of this work was not clearly described. The author should put more effort to highlight the contribution.",6.0,Mining of business insights and customer interests from social media: Facebook,"Customer Interest, Business Insight, Business Intelligence, Data Mining, Lexicon Based Classifier, Market Basket Data, Social Media; Social Media Group, Sentiment Analysis","the rising popularity of social media opens up new opportunities to analyze intended organizationâs business insight and its customer interest. Such information derived from social media data can be very useful to mining customers for using as further business intelligence. In this work, a methodology is outlined to collect data and manipulate them to business insights using social network sites; particularly from Facebook groups. FoodBank a Facebook group which is very popular in Bangladesh has been chosen to analyze business insights of different types of fast-food and restaurants in Bangladesh.",0
26,8960,Authors claims that the turbulence channel is diagnosed by their process but what is the model of diagnostics not present. The abstract has no new information of research. No new findings in the paper. How very low BER about 10pow-12 at -38dBm for link length 2500m is doubtful. Equations format is not compatible.  ,14.0,Analytical Performance Evaluation of a MIMO FSO Communication System with Direct Detection Optical Receivers under Turbulent Condition,"Direct detection (DD) receiver, free space optical (FSO) communication, gamma-gamma distribution, multiple input multiple output (MIMO), pulse position modulation (PPM)","MIMO FSO communication is investigated recently to develop a robust communication link in the presence of atmospheric turbulence. In this paper an analytical approach is developed to evaluate the effect of strong atmospheric turbulence on BER performance of a MIMO FSO link with Q-ary Pulse Position Modulation (QPPM). Analysis is presented to find signal to noise ratio at the output of a direct detection receiver with optical intensity modulator under strong atmospheric turbulence which is modeled as gamma-gamma distribution. The results show that the BER performance is strongly degraded due to the effect of atmospheric turbulence. However, the performance can be improved by increasing the number of transmitters, receivers and order of Q in PPM. Results show that the FSO MIMO system with M=8, N=4 Q=4 provides the 22 dB improvement at BER of 10-9.",0
27,9429,"MIMO FSO communication is emerging field to research nowadays. It's simple that the more the no. of antennas, the more BER performance. In contrast, it will be better if the author describe the clear picture of the computational burden while the no. of antennas increased. Technical quality of the paper is good. It will be better if the author provide more references and cite them.",20.0,Analytical Performance Evaluation of a MIMO FSO Communication System with Direct Detection Optical Receivers under Turbulent Condition,"Direct detection (DD) receiver, free space optical (FSO) communication, gamma-gamma distribution, multiple input multiple output (MIMO), pulse position modulation (PPM)","MIMO FSO communication is investigated recently to develop a robust communication link in the presence of atmospheric turbulence. In this paper an analytical approach is developed to evaluate the effect of strong atmospheric turbulence on BER performance of a MIMO FSO link with Q-ary Pulse Position Modulation (QPPM). Analysis is presented to find signal to noise ratio at the output of a direct detection receiver with optical intensity modulator under strong atmospheric turbulence which is modeled as gamma-gamma distribution. The results show that the BER performance is strongly degraded due to the effect of atmospheric turbulence. However, the performance can be improved by increasing the number of transmitters, receivers and order of Q in PPM. Results show that the FSO MIMO system with M=8, N=4 Q=4 provides the 22 dB improvement at BER of 10-9.",0
28,8106,"
 There are grammatical mistakes and incorrect sentences in the paper. The standard of English is not up to the mark.
 There is no novel contribution in developing a game. You should make a comparison with the existing games.
 You did not follow IEEE format strictly for preparing the manuscript, especially preparing references and specifying the figures in the paper. You should not submit a manuscript with your name and affiliation for the blind review process.
",14.0,MageLand: A Digital Card Collectible Game,"Card game, Multiplayer, Game Design, Game Development","Digital Collectible Card Games are the new brand of card games that are very popular in recent years.  It provides the joy of playing those old card games with friends while being at home. The ease of playing it has exponentially increased the popularity of the genre. In this work, we have designed a digital collectible card game called MageLand in which people will be able to play the card game with its rules and such. It is similar to many games already available in the market but it provides a setting of its own. The game is being made using a webpage called Dulst and the aim is to keep the game simple so that everyone can play it. However, there are some other tools such as Unreal Engine 4, Unity, Magic Set Editor (MSE), nanDECK, Strange Eons, etc where one can develop card games but, Dulst provides better and easier options for developing and hosting the card games than other existing tools.",0
29,8975,"This is a typical project work. Some sort of unique contribution is necessary for a research work. Moreover, there is no comparison of the results with the existing works.",12.0,MageLand: A Digital Card Collectible Game,"Card game, Multiplayer, Game Design, Game Development","Digital Collectible Card Games are the new brand of card games that are very popular in recent years.  It provides the joy of playing those old card games with friends while being at home. The ease of playing it has exponentially increased the popularity of the genre. In this work, we have designed a digital collectible card game called MageLand in which people will be able to play the card game with its rules and such. It is similar to many games already available in the market but it provides a setting of its own. The game is being made using a webpage called Dulst and the aim is to keep the game simple so that everyone can play it. However, there are some other tools such as Unreal Engine 4, Unity, Magic Set Editor (MSE), nanDECK, Strange Eons, etc where one can develop card games but, Dulst provides better and easier options for developing and hosting the card games than other existing tools.",0
31,8112,"This paper presents a Q/A Answering system. The topic is very interesting. Lots of improvements are needed. Few are mentioned in the following:

ECCE 2019 is following double-blind peer review process. I m wondering why authors included their information
Methodilogy is not clear. Details explanation is needed
How to build Q/A DB? Sample Q/A input ouput may be included?
How may sentences/question is analyzed? How did measured the accuracy? What are average Q length?
Comparison with existing work should be included
",16.0,Textual Question Answering for Semantic Parsing  in Natural Language Processing,"semantic parsing, lambda calculus, question answering, logical forms, text parsing",Question answering (QA) problem is one of the most frequent task in natural language processing (NLP) over language input. This paper introduces a question answering approach by semantic parsing of text with a view to leverage semantic information on question answering. Semantic parsing is an widely used tool to understand the natural language. Mechanisms that offer a synchronous framework for deriving syntactic and semantic structures of texts are common. Proposed approach uses the method based on lambda calculus for semantic parsing to derive logical forms of sentences. The questions are analyzed by collecting significant features to find out correct answers from the facts. Unlike traditional approaches this paper extends lambda calculus methodology for question analysis as well as answering. The easy to analysis methodology achieves remarkable accuracy for Yes/No questions as well as reliable correctness for other cases on the five tasks of a standard text question answering dataset.,0
32,8977,"ECCE is follow double blind peer review process. This paper contains the authors information. Moreover, the technical contents are not sufficient. How the system works-need details explanation. Most of the references are not followed IEEE style.",11.0,Textual Question Answering for Semantic Parsing  in Natural Language Processing,"semantic parsing, lambda calculus, question answering, logical forms, text parsing",Question answering (QA) problem is one of the most frequent task in natural language processing (NLP) over language input. This paper introduces a question answering approach by semantic parsing of text with a view to leverage semantic information on question answering. Semantic parsing is an widely used tool to understand the natural language. Mechanisms that offer a synchronous framework for deriving syntactic and semantic structures of texts are common. Proposed approach uses the method based on lambda calculus for semantic parsing to derive logical forms of sentences. The questions are analyzed by collecting significant features to find out correct answers from the facts. Unlike traditional approaches this paper extends lambda calculus methodology for question analysis as well as answering. The easy to analysis methodology achieves remarkable accuracy for Yes/No questions as well as reliable correctness for other cases on the five tasks of a standard text question answering dataset.,0
34,8128,"

Figures should have been more clear. Specially legends are not clear enough to illustrate the data.


Detailed discussion on forecasting methods is recommended. It would be a good work, if the calculated correlation coefficient can be used for a particular PV forecasting. Nevertheless, the paper does not relate the title. In that case, it will be wise to change the title.

",21.0,Forecasting of Photovoltaic Power Generation: Techniques and Key Factors,"PV power forecasting, machine learning, statistical methods, correlation analysis","The aim of this paper is first, to provide a detailed overview on conventional and modern techniques of solar photovoltaic (PV) forecasting and then, to determine the predominating factors that affect the generation of PV power. To mitigate the depletion of fossil fuel and reduce greenhouse gas emissions, renewable energy is being deployed all over the world. Amongst various options, PV is one of the leading renewable generation sources. Due to variability, uncertainty and dependence on weather condition, PV power forecasting is treated as a challenging task. To this end, several PV forecasting techniques have been developed. Before the widespread application of machine learning tools, conventional methods viz.  statistical, autoregressive moving average, regression etc. were used to forecast PV power. However, with recent advancement of machine learning approaches and access to big data, Artificial Neural network, Support Vector machine and hybrid techniques have become prevalent. To better understand the insights of PV prediction, this paper explores the working principle and applicability of various PV forecasting methods. In addition, the key factors affecting the PV generation are estimated using practical data.",0
36,8678,"This research does not contain analysis on PV output in foggy weather and dewdrop.
There are some grammatical and spelling mistakes.
Are all the data for all variables collected in one single day? if not, then how did you relate effects of other variables on PV output when considering one variable? Like how did you relate the effects of temperature and wind direction on PV output while considering solar irredience?",26.0,Forecasting of Photovoltaic Power Generation: Techniques and Key Factors,"PV power forecasting, machine learning, statistical methods, correlation analysis","The aim of this paper is first, to provide a detailed overview on conventional and modern techniques of solar photovoltaic (PV) forecasting and then, to determine the predominating factors that affect the generation of PV power. To mitigate the depletion of fossil fuel and reduce greenhouse gas emissions, renewable energy is being deployed all over the world. Amongst various options, PV is one of the leading renewable generation sources. Due to variability, uncertainty and dependence on weather condition, PV power forecasting is treated as a challenging task. To this end, several PV forecasting techniques have been developed. Before the widespread application of machine learning tools, conventional methods viz.  statistical, autoregressive moving average, regression etc. were used to forecast PV power. However, with recent advancement of machine learning approaches and access to big data, Artificial Neural network, Support Vector machine and hybrid techniques have become prevalent. To better understand the insights of PV prediction, this paper explores the working principle and applicability of various PV forecasting methods. In addition, the key factors affecting the PV generation are estimated using practical data.",0
